checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,problematic_delay,checkout_status
mobile,ended,145.0,,,False,Delay ≥ 60
connect,ended,8.0,,,False,1 ≤ Delay < 10 mins
mobile,ended,-8.0,,,False,on time
mobile,ended,74.0,,,False,Delay ≥ 60
mobile,ended,126.0,,,False,Delay ≥ 60
mobile,ended,15.0,,,False,10 ≤ Delay < 60 mins
mobile,canceled,0.0,,,False,on time
mobile,ended,-8.0,,,False,on time
connect,ended,-692.0,,,False,on time
mobile,ended,195.0,,,False,Delay ≥ 60
mobile,canceled,0.0,,,False,on time
mobile,canceled,0.0,,,False,on time
mobile,ended,-133.0,,,False,on time
mobile,ended,-22.0,,,False,on time
mobile,ended,201.0,,,False,Delay ≥ 60
mobile,ended,21.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,-307.0,,,False,on time
mobile,ended,-40.0,,,False,on time
mobile,ended,225.0,553683.0,60.0,False,Delay ≥ 60
mobile,canceled,0.0,,,False,on time
mobile,ended,-37.0,,,False,on time
mobile,canceled,0.0,,,False,on time
mobile,ended,-12.0,,,False,on time
mobile,ended,-11.0,,,False,on time
connect,ended,-26.0,,,False,on time
connect,ended,-49.0,,,False,on time
mobile,ended,381.0,,,False,Delay ≥ 60
connect,ended,22.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,144.0,,,False,Delay ≥ 60
mobile,ended,69.0,,,False,Delay ≥ 60
mobile,ended,19.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,10.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,-5.0,,,False,on time
connect,ended,-127.0,,,False,on time
mobile,ended,-158.0,,,False,on time
connect,ended,54.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,3.0,,,False,1 ≤ Delay < 10 mins
mobile,ended,201.0,,,False,Delay ≥ 60
mobile,ended,167.0,,,False,Delay ≥ 60
mobile,ended,0.0,,,False,on time
mobile,ended,-136.0,,,False,on time
mobile,ended,-158.0,,,False,on time
mobile,ended,20.0,,,False,10 ≤ Delay < 60 mins
connect,ended,-7.0,,,False,on time
mobile,ended,-15.0,,,False,on time
mobile,ended,-127.0,545782.0,60.0,True,on time
mobile,ended,82.0,,,False,Delay ≥ 60
connect,ended,37.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,0.0,,,False,on time
mobile,ended,0.0,545855.0,120.0,True,on time
connect,ended,-41.0,,,False,on time
connect,ended,-25.0,,,False,on time
mobile,canceled,0.0,,,False,on time
mobile,ended,40.0,,,False,10 ≤ Delay < 60 mins
connect,ended,-22.0,549192.0,180.0,True,on time
mobile,ended,211.0,,,False,Delay ≥ 60
mobile,ended,97.0,,,False,Delay ≥ 60
connect,ended,16.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,536.0,,,False,Delay ≥ 60
mobile,ended,159.0,,,False,Delay ≥ 60
mobile,ended,0.0,,,False,on time
mobile,ended,-7.0,,,False,on time
connect,ended,34.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,203.0,,,False,Delay ≥ 60
mobile,ended,0.0,,,False,on time
mobile,ended,275.0,,,False,Delay ≥ 60
mobile,canceled,0.0,,,False,on time
mobile,ended,-193.0,,,False,on time
mobile,ended,0.0,,,False,on time
mobile,ended,11.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,91.0,,,False,Delay ≥ 60
mobile,ended,23.0,,,False,10 ≤ Delay < 60 mins
connect,ended,4.0,,,False,1 ≤ Delay < 10 mins
mobile,ended,-28.0,,,False,on time
mobile,canceled,0.0,,,False,on time
connect,ended,23.0,554800.0,0.0,False,10 ≤ Delay < 60 mins
mobile,ended,6.0,,,False,1 ≤ Delay < 10 mins
connect,ended,-102.0,550476.0,30.0,True,on time
mobile,ended,-232.0,,,False,on time
connect,ended,-22.0,,,False,on time
mobile,ended,322.0,,,False,Delay ≥ 60
mobile,ended,31.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,63.0,,,False,Delay ≥ 60
mobile,ended,10.0,,,False,10 ≤ Delay < 60 mins
connect,ended,40.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,20.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,0.0,,,False,on time
mobile,ended,5.0,,,False,1 ≤ Delay < 10 mins
mobile,ended,0.0,,,False,on time
mobile,ended,7.0,,,False,1 ≤ Delay < 10 mins
mobile,ended,-1.0,,,False,on time
mobile,ended,24.0,519328.0,150.0,True,10 ≤ Delay < 60 mins
mobile,ended,170.0,,,False,Delay ≥ 60
connect,ended,-20.0,,,False,on time
mobile,ended,-3.0,,,False,on time
mobile,ended,-36.0,,,False,on time
connect,ended,-29.0,,,False,on time
mobile,ended,1.0,,,False,1 ≤ Delay < 10 mins
connect,ended,11.0,,,False,10 ≤ Delay < 60 mins
mobile,canceled,0.0,,,False,on time
mobile,ended,-148.0,,,False,on time
mobile,ended,0.0,,,False,on time
mobile,ended,37.0,,,False,10 ≤ Delay < 60 mins
connect,ended,-37.0,,,False,on time
mobile,ended,358.0,,,False,Delay ≥ 60
mobile,ended,-5.0,,,False,on time
mobile,canceled,0.0,,,False,on time
mobile,ended,17.0,560722.0,720.0,True,10 ≤ Delay < 60 mins
mobile,ended,-72.0,,,False,on time
mobile,ended,161.0,,,False,Delay ≥ 60
mobile,ended,146.0,,,False,Delay ≥ 60
connect,ended,-95.0,,,False,on time
mobile,ended,0.0,,,False,on time
connect,canceled,0.0,,,False,on time
mobile,ended,19.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,-26.0,,,False,on time
mobile,canceled,0.0,,,False,on time
mobile,ended,58.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,21.0,,,False,10 ≤ Delay < 60 mins
connect,canceled,0.0,,,False,on time
mobile,ended,181.0,,,False,Delay ≥ 60
mobile,canceled,0.0,,,False,on time
mobile,canceled,0.0,,,False,on time
mobile,ended,14.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,8.0,,,False,1 ≤ Delay < 10 mins
mobile,ended,77.0,,,False,Delay ≥ 60
mobile,ended,-12.0,,,False,on time
mobile,ended,-581.0,,,False,on time
mobile,ended,59.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,98.0,,,False,Delay ≥ 60
mobile,ended,23.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,14.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,7.0,,,False,1 ≤ Delay < 10 mins
mobile,ended,-16.0,,,False,on time
connect,canceled,0.0,,,False,on time
mobile,ended,55.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,101.0,,,False,Delay ≥ 60
mobile,ended,47.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,21.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,-85.0,,,False,on time
mobile,ended,15.0,550183.0,480.0,True,10 ≤ Delay < 60 mins
mobile,ended,122.0,,,False,Delay ≥ 60
mobile,ended,996.0,,,False,Delay ≥ 60
mobile,ended,0.0,,,False,on time
mobile,ended,67.0,,,False,Delay ≥ 60
mobile,ended,-4.0,,,False,on time
mobile,ended,-25.0,,,False,on time
connect,ended,-40.0,566170.0,180.0,True,on time
connect,ended,-4.0,549813.0,600.0,True,on time
mobile,canceled,0.0,,,False,on time
mobile,ended,173.0,,,False,Delay ≥ 60
mobile,canceled,0.0,,,False,on time
connect,ended,-256.0,555341.0,30.0,True,on time
mobile,ended,20.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,72.0,,,False,Delay ≥ 60
mobile,ended,3.0,,,False,1 ≤ Delay < 10 mins
mobile,ended,102.0,,,False,Delay ≥ 60
connect,ended,-126.0,,,False,on time
mobile,ended,-5.0,,,False,on time
connect,ended,27.0,,,False,10 ≤ Delay < 60 mins
connect,canceled,0.0,,,False,on time
mobile,ended,0.0,,,False,on time
mobile,canceled,0.0,,,False,on time
mobile,ended,2.0,,,False,1 ≤ Delay < 10 mins
mobile,ended,89.0,,,False,Delay ≥ 60
connect,ended,-16.0,520878.0,90.0,True,on time
mobile,ended,18.0,553797.0,60.0,True,10 ≤ Delay < 60 mins
connect,canceled,0.0,,,False,on time
mobile,ended,44.0,540868.0,0.0,False,10 ≤ Delay < 60 mins
mobile,ended,21.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,-3.0,,,False,on time
mobile,ended,-78.0,,,False,on time
mobile,ended,52.0,,,False,10 ≤ Delay < 60 mins
mobile,canceled,0.0,,,False,on time
mobile,ended,0.0,,,False,on time
mobile,ended,-14.0,,,False,on time
mobile,ended,-41.0,,,False,on time
mobile,ended,84.0,,,False,Delay ≥ 60
connect,ended,0.0,,,False,on time
mobile,ended,-18.0,,,False,on time
mobile,ended,65.0,,,False,Delay ≥ 60
mobile,ended,10.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,-14.0,,,False,on time
mobile,ended,-21.0,,,False,on time
mobile,ended,-40.0,,,False,on time
mobile,ended,-104.0,,,False,on time
connect,ended,-3.0,558711.0,30.0,True,on time
connect,ended,173.0,,,False,Delay ≥ 60
connect,ended,-54.0,545475.0,360.0,True,on time
connect,ended,7.0,541144.0,540.0,True,1 ≤ Delay < 10 mins
connect,canceled,0.0,,,False,on time
